episode,global_step,episode_step,reward,episode_reward_so_far,intruder_policy,response_policy,response_policy_correct,winner,reason,collision,intruder_distance,agent_distance,interceptor_action_x,interceptor_action_y
0,1,1,-0.16203214287757875,-0.16203214287757875,direct,direct,True,,running,False,1.2314952611923218,1.0680345296859741,0.029999999329447746,-0.029999999329447746
0,2,2,-0.16414522886276248,-0.3261773717403412,direct,direct,True,,running,False,1.2154953479766846,1.0745999813079834,-0.029999999329447746,0.029999999329447746
0,3,3,-0.15787042140960694,-0.48404779314994817,direct,direct,True,,running,False,1.1994953155517578,1.0392259359359741,-0.029999999329447746,-0.029999999329447746
0,4,4,-0.151690069437027,-0.6357378625869752,direct,direct,True,,running,False,1.1834954023361206,1.004324197769165,-0.029999999329447746,-0.029999999329447746
0,5,5,-0.14561429381370547,-0.7813521564006807,direct,direct,True,,running,False,1.1674953699111938,0.9699453115463257,-0.029999999329447746,-0.029999999329447746
0,6,6,-0.14803224563598635,-0.9293844020366671,direct,direct,True,,running,False,1.1514954566955566,0.9780350923538208,-0.029999999329447746,0.029999999329447746
0,7,7,-0.1408148503303528,-1.0701992523670198,direct,direct,True,,running,False,1.1354954242706299,0.9379481077194214,0.029999999329447746,-0.029999999329447746
0,8,8,-0.13485522031784059,-1.2050544726848604,direct,direct,True,,running,False,1.1194953918457031,0.9041499495506287,-0.029999999329447746,-0.029999999329447746
0,9,9,-0.13736642956733705,-1.3424209022521976,direct,direct,True,,running,False,1.103495478630066,0.9127060174942017,-0.029999999329447746,0.029999999329447746
0,10,10,-0.1316402113437653,-1.474061113595963,direct,direct,True,,running,False,1.0874954462051392,0.8800749182701111,-0.029999999329447746,-0.029999999329447746
0,11,11,-0.13431862950325013,-1.608379743099213,direct,direct,True,,running,False,1.0714954137802124,0.8894670009613037,-0.029999999329447746,0.029999999329447746
0,12,12,-0.12885393857955935,-1.7372336816787723,direct,direct,True,,running,False,1.0554955005645752,0.8581435680389404,-0.029999999329447746,-0.029999999329447746
0,13,13,-0.1317036247253418,-1.8689373064041142,direct,direct,True,,running,False,1.0394954681396484,0.8683919906616211,-0.029999999329447746,0.029999999329447746
0,14,14,-0.1265300190448761,-1.9954673254489903,direct,direct,True,,running,False,1.0234955549240112,0.8385239839553833,-0.029999999329447746,-0.029999999329447746
0,15,15,-0.12156236529350284,-2.117029690742493,direct,direct,True,,running,False,1.0074955224990845,0.8096857070922852,-0.029999999329447746,-0.029999999329447746
0,16,16,-100.0,-102.1170296907425,direct,direct,True,intruder,entered_big_circle,False,0.9914956092834473,0.7819912433624268,-0.029999999329447746,-0.029999999329447746
1,17,1,-0.2574380791187286,-0.2574380791187286,direct,direct,True,,running,False,1.4730299711227417,1.6054478883743286,-0.029999999329447746,-0.029999999329447746
1,18,2,-0.2545914626121521,-0.5120295417308807,direct,direct,True,,running,False,1.4570300579071045,1.5872148275375366,0.029999999329447746,-0.029999999329447746
1,19,3,-0.2518733060359955,-0.7639028477668761,direct,direct,True,,running,False,1.4410301446914673,1.5696240663528442,0.029999999329447746,-0.029999999329447746
1,20,4,-0.24928804993629455,-1.0131908977031707,direct,direct,True,,running,False,1.4250301122665405,1.552697777748108,0.029999999329447746,-0.029999999329447746
1,21,5,-0.24684004545211796,-1.2600309431552887,direct,direct,True,,running,False,1.4090301990509033,1.5364577770233154,0.029999999329447746,-0.029999999329447746
1,22,6,-0.24453369140625003,-1.5045646345615387,direct,direct,True,,running,False,1.3930301666259766,1.5209259986877441,0.029999999329447746,-0.029999999329447746
1,23,7,-0.2423733925819397,-1.7469380271434785,direct,direct,True,,running,False,1.3770301342010498,1.506124496459961,0.029999999329447746,-0.029999999329447746
1,24,8,-0.24036345839500428,-1.9873014855384827,direct,direct,True,,running,False,1.3610302209854126,1.4920748472213745,0.029999999329447746,-0.029999999329447746
1,25,9,-0.23850823402404786,-2.2258097195625304,direct,direct,True,,running,False,1.3450303077697754,1.478798747062683,0.029999999329447746,-0.029999999329447746
1,26,10,-0.23681186795234682,-2.462621587514877,direct,direct,True,,running,False,1.3290303945541382,1.4663169384002686,0.029999999329447746,-0.029999999329447746
1,27,11,-0.2352784907817841,-2.6979000782966613,direct,direct,True,,running,False,1.3130303621292114,1.4546500444412231,0.029999999329447746,-0.029999999329447746
1,28,12,-0.23391202449798587,-2.9318121027946473,direct,direct,True,,running,False,1.2970304489135742,1.4438177347183228,0.029999999329447746,-0.029999999329447746
1,29,13,-0.23271621823310856,-3.1645283210277557,direct,direct,True,,running,False,1.281030535697937,1.4338387250900269,0.029999999329447746,-0.029999999329447746
1,30,14,-0.2364400660991669,-3.4009683871269227,direct,direct,True,,running,False,1.2650305032730103,1.448457956314087,-0.029999999329447746,-0.029999999329447746
1,31,15,-0.22836616992950443,-3.6293345570564273,direct,direct,True,,running,False,1.249030590057373,1.4040884971618652,0.029999999329447746,0.029999999329447746
1,32,16,-0.22740573048591614,-3.8567402875423435,direct,direct,True,,running,False,1.2330306768417358,1.3952863216400146,0.029999999329447746,-0.029999999329447746
1,33,17,-0.22662744283676148,-4.083367730379105,direct,direct,True,,running,False,1.2170307636260986,1.387394905090332,0.029999999329447746,-0.029999999329447746
1,34,18,-0.21870652198791504,-4.30207425236702,direct,direct,True,,running,False,1.2010307312011719,1.3437902927398682,0.029999999329447746,0.029999999329447746
1,35,19,-0.218190667629242,-4.5202649199962615,direct,direct,True,,running,False,1.1850306987762451,1.337211012840271,0.029999999329447746,-0.029999999329447746
1,36,20,-0.2178697681427002,-4.738134688138961,direct,direct,True,,running,False,1.1690306663513184,1.3316065073013306,0.029999999329447746,-0.029999999329447746
1,37,21,-0.21774625539779663,-4.955880943536758,direct,direct,True,,running,False,1.1530306339263916,1.326988935470581,0.029999999329447746,-0.029999999329447746
