episode,global_step,episode_step,reward,episode_reward_so_far,true_policy,response_policy,response_policy_correct,assumed_policy,assumption_correct,predator_a_action,predator_b_action,switched,running_error_chase_x,running_error_chase_y
0,1,1,-1.0,-1.0,chase_x,chase_x,True,chase_x,True,2,2,False,0.0,0.0
0,2,2,-1.0,-2.0,chase_x,chase_x,True,chase_x,True,2,3,False,0.0,0.987083890442304
0,3,3,-1.0,-3.0,chase_x,chase_x,True,chase_x,True,4,3,False,0.0,1.9790792390194363
0,4,4,-1.0,-4.0,chase_x,chase_x,True,chase_x,True,2,2,False,0.0,1.9710777920713234
0,5,5,-1.0,-5.0,chase_x,chase_x,True,chase_x,True,2,3,False,0.0,2.9630736899963894
0,6,6,-1.0,-6.0,chase_x,chase_x,True,chase_x,True,4,3,False,0.0,3.9550736801319752
0,7,7,-1.0,-7.0,chase_x,chase_x,True,chase_x,True,3,2,False,0.0,3.947073675226794
0,8,8,-1.0,-8.0,chase_x,chase_x,True,chase_x,True,3,2,False,0.6246097594210777,3.939073590752949
0,9,9,-1.0,-9.0,chase_x,chase_x,True,chase_x,True,2,3,False,0.6166095356168816,4.0
0,10,10,-1.0,-10.0,chase_x,chase_x,True,chase_x,True,4,3,False,0.6085347262871884,4.0
0,11,11,99.0,89.0,chase_x,chase_x,True,chase_x,True,4,3,False,0.6004426784483113,4.0
1,12,1,99.0,99.0,chase_x,chase_x,True,chase_x,True,1,2,False,0.5924405583015373,4.0
2,13,1,-1.0,-1.0,chase_x,chase_x,True,chase_x,True,3,4,False,0.5844392396091072,4.0
2,14,2,-1.0,-2.0,chase_x,chase_x,True,chase_x,True,3,1,False,0.4672677465918154,3.9889691034025074
2,15,3,-1.0,-3.0,chase_x,chase_x,True,chase_x,True,3,4,False,0.4584525057239321,4.0
2,16,4,-1.0,-4.0,chase_x,chase_x,True,chase_x,True,3,1,False,0.44305822194328526,3.8748238487823192
2,17,5,-1.0,-5.0,chase_x,chase_x,True,chase_x,True,3,3,False,0.43322228898232273,3.83398707876651
2,18,6,-1.0,-6.0,chase_x,chase_x,True,chase_x,True,3,0,False,0.36672218543914203,4.0
2,19,7,-1.0,-7.0,chase_x,chase_x,True,chase_x,True,3,2,False,0.35112638705717175,4.0
2,20,8,-1.0,-8.0,chase_x,chase_x,True,chase_x,True,2,3,False,0.3405648472332197,4.0
2,21,9,-1.0,-9.0,chase_x,chase_x,True,chase_x,True,2,1,False,0.32783406571509294,3.9919957339133036
2,22,10,99.0,90.0,chase_x,chase_x,True,chase_x,True,2,1,False,0.31409825680601416,3.9834425157512054
