episode,ops_episode_len,ops_episode_reward,ops_winner,ops_reason,ops_final_intruder_policy,baseline_episode_len,baseline_winner,baseline_reason,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win
0,11,-101.8089418053627,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-101.95353914499283,False,False
1,28,-104.27561363697052,intruder,entered_big_circle,direct,28,intruder,entered_big_circle,-106.1656646680832,False,False
2,21,-103.77545899152756,intruder,entered_big_circle,direct,21,intruder,entered_big_circle,-104.06564239263534,False,False
3,30,-106.89288822054864,intruder,entered_big_circle,direct,30,intruder,entered_big_circle,-105.72656067252159,False,False
4,29,-106.62799358248712,intruder,entered_big_circle,direct,29,intruder,entered_big_circle,-104.16693941235542,False,False
5,27,-103.80980165958404,intruder,entered_big_circle,direct,27,intruder,entered_big_circle,-105.25882392883301,False,False
6,12,-101.78336758971214,intruder,entered_big_circle,direct,12,intruder,entered_big_circle,-102.17077546477317,False,False
7,357,-121.92052436456088,intruder,entered_big_circle,direct,320,intruder,active_collision,-154.02341521322728,False,False
8,16,-103.23711026906967,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-102.59652811288834,False,False
9,22,-103.87819880604744,intruder,entered_big_circle,direct,22,intruder,entered_big_circle,-104.11084515213966,False,False
10,13,-101.74236121296885,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-101.51448320269584,False,False
11,31,-105.00528735518456,intruder,entered_big_circle,direct,31,intruder,entered_big_circle,-107.66531648039818,False,False
12,11,-101.67553350925444,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-101.44473507404328,False,False
13,23,-103.32736385583875,intruder,entered_big_circle,direct,23,intruder,entered_big_circle,-104.13209419965744,False,False
14,279,-142.21045335561035,intruder,active_collision,attack,11,intruder,entered_big_circle,-101.69961577057839,False,False
15,50,-110.48553783237936,intruder,entered_big_circle,direct,24,intruder,entered_big_circle,-103.78707821846008,False,False
16,10,-101.53363691806793,intruder,entered_big_circle,direct,10,intruder,entered_big_circle,-101.45079803705215,False,False
17,21,-104.76382163167,intruder,entered_big_circle,direct,352,intruder,entered_big_circle,-153.08670020163058,False,False
18,21,-104.58556129932404,intruder,entered_big_circle,direct,21,intruder,entered_big_circle,-104.31025452613831,False,False
19,25,-105.314680018425,intruder,entered_big_circle,direct,25,intruder,entered_big_circle,-105.5109372997284,False,False
20,5,-100.53678853750228,intruder,entered_big_circle,direct,5,intruder,entered_big_circle,-100.54871614217758,False,False
21,10,-101.10214955449104,intruder,entered_big_circle,direct,10,intruder,entered_big_circle,-101.05492540240287,False,False
22,17,-103.64332995176316,intruder,entered_big_circle,direct,17,intruder,entered_big_circle,-103.35607082605362,False,False
23,26,-105.3451450109482,intruder,entered_big_circle,direct,26,intruder,entered_big_circle,-105.07702143192292,False,False
24,11,-101.4080608844757,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-101.406491959095,False,False
