episode,ops_episode_len,ops_episode_reward,ops_winner,ops_reason,ops_final_intruder_policy,baseline_episode_len,baseline_winner,baseline_reason,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win
0,11,-121.61624056220056,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-121.92727890729904,False,False
1,28,-123.53916943967344,intruder,entered_big_circle,direct,28,intruder,entered_big_circle,-126.13505395650864,False,False
2,21,-123.51320757389068,intruder,entered_big_circle,direct,21,intruder,entered_big_circle,-124.04426248788833,False,False
3,30,-126.63691604018211,intruder,entered_big_circle,direct,30,intruder,entered_big_circle,-124.67584051072598,False,False
4,29,-126.53031700730324,intruder,entered_big_circle,direct,29,intruder,entered_big_circle,-125.35742995023728,False,False
5,27,-122.6593969464302,intruder,entered_big_circle,direct,27,intruder,entered_big_circle,-125.4462423324585,False,False
6,12,-121.51255242347716,intruder,entered_big_circle,direct,12,intruder,entered_big_circle,-122.05986402750015,False,False
7,93,-117.67968483358624,intruder,entered_small_circle,detour,347,intruder,entered_big_circle,-178.41164853572846,False,False
8,85,-155.23881261765956,intruder,entered_small_circle,attack,16,intruder,entered_big_circle,-122.844899238348,False,False
9,144,-139.18695241332054,intruder,entered_big_circle,direct,22,intruder,entered_big_circle,-123.55190820097923,False,False
10,13,-121.24350284397602,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-121.30339220523834,False,False
11,31,-124.3116231262684,intruder,entered_big_circle,direct,31,intruder,entered_big_circle,-127.89640679955482,False,False
12,11,-121.40424713551998,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-121.36715065002441,False,False
13,23,-122.69047857820988,intruder,entered_big_circle,direct,23,intruder,entered_big_circle,-123.50419011712074,False,False
14,11,-121.80333499789238,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-121.50024818062782,False,False
15,24,-122.9925345379114,intruder,entered_big_circle,direct,357,intruder,entered_big_circle,-158.12570813417435,False,False
16,10,-121.42698449969292,intruder,entered_big_circle,direct,10,intruder,entered_big_circle,-121.16046578764916,False,False
17,21,-123.34117308616638,intruder,entered_big_circle,direct,21,intruder,entered_big_circle,-123.56720123052597,False,False
18,44,96.96252540707589,interceptor,intercepted_before_small_circle,detour,21,intruder,entered_big_circle,-124.1294402039051,True,False
19,218,-236.0349515734613,intruder,active_collision,attack,25,intruder,entered_big_circle,-124.07278205037117,False,False
20,74,-122.89974148899316,intruder,entered_big_circle,direct,5,intruder,entered_big_circle,-120.46457299590111,False,False
21,10,-121.18990454018116,intruder,entered_big_circle,direct,10,intruder,entered_big_circle,-120.82853159248829,False,False
22,17,-122.66000197649002,intruder,entered_big_circle,direct,17,intruder,entered_big_circle,-122.61544625282288,False,False
23,26,-124.4871091067791,intruder,entered_big_circle,direct,372,intruder,entered_big_circle,-170.16897253036498,False,False
24,11,-121.26596987366676,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-121.08063289642334,False,False
25,11,-121.9719651710987,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-122.17171782970428,False,False
26,23,-123.57246796011924,intruder,entered_big_circle,direct,23,intruder,entered_big_circle,-125.07813522934913,False,False
27,6,-120.7156589281559,intruder,entered_big_circle,direct,6,intruder,entered_big_circle,-120.83457919478417,False,False
28,27,-122.67064616799355,intruder,entered_big_circle,direct,27,intruder,entered_big_circle,-125.22259671211242,False,False
29,27,-126.35994777798652,intruder,entered_big_circle,direct,27,intruder,entered_big_circle,-124.88505462527274,False,False
30,164,-236.9654577311873,intruder,active_collision,attack,7,intruder,entered_big_circle,-120.88206594586373,False,False
31,63,-222.81108492225408,intruder,active_collision,attack,367,intruder,entered_big_circle,-197.3211260074377,False,False
32,100,-138.0502287083864,intruder,entered_big_circle,direct,29,intruder,entered_big_circle,-124.87269765615463,False,False
33,9,-121.19454004883768,intruder,entered_big_circle,direct,9,intruder,entered_big_circle,-121.28426384449006,False,False
34,24,-124.68242444515228,intruder,entered_big_circle,direct,24,intruder,entered_big_circle,-124.74484436631202,False,False
35,17,-123.00393509626387,intruder,entered_big_circle,direct,17,intruder,entered_big_circle,-123.10308372735977,False,False
36,28,-122.19412300288676,intruder,entered_big_circle,direct,28,intruder,entered_big_circle,-125.6322066962719,False,False
37,13,-121.19439989447594,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-121.3366875809431,False,False
38,7,-120.78390063762664,intruder,entered_big_circle,direct,7,intruder,entered_big_circle,-120.86509292244911,False,False
39,24,-125.71679898023604,intruder,entered_big_circle,direct,350,intruder,entered_big_circle,-176.88727787792683,False,False
40,16,-122.54121189117431,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-122.79084928631782,False,False
41,76,91.01360675156116,interceptor,intercepted_before_small_circle,detour,26,intruder,entered_big_circle,-126.17728249430657,True,False
42,176,-232.91042973265053,intruder,active_collision,attack,19,intruder,entered_big_circle,-122.93882125139237,False,False
43,88,-127.25737584114074,intruder,entered_big_circle,direct,28,intruder,entered_big_circle,-127.51017669677735,False,False
44,10,-121.35458446860314,intruder,entered_big_circle,direct,10,intruder,entered_big_circle,-121.37905083417893,False,False
45,9,-121.06239833652972,intruder,entered_big_circle,direct,9,intruder,entered_big_circle,-121.17242187976836,False,False
46,8,-121.41028786063194,intruder,entered_big_circle,direct,8,intruder,entered_big_circle,-121.2884284889698,False,False
47,28,-125.85881707906724,intruder,entered_big_circle,direct,371,intruder,entered_big_circle,-163.0450886592269,False,False
48,22,-122.76519390940666,intruder,entered_big_circle,direct,22,intruder,entered_big_circle,-124.85778531432152,False,False
