episode,global_step,episode_step,reward,episode_reward_so_far,true_policy,predator_a_action,predator_b_action
0,1,1,-1.0,-1.0,chase_x,4,4
0,2,2,-1.0,-2.0,chase_x,4,2
0,3,3,-1.0,-3.0,chase_x,4,2
0,4,4,-1.0,-4.0,chase_x,4,2
0,5,5,-1.0,-5.0,chase_x,4,4
0,6,6,-1.0,-6.0,chase_x,4,4
0,7,7,-1.0,-7.0,chase_x,4,4
0,8,8,99.0,92.0,chase_x,1,2
1,9,1,-1.0,-1.0,chase_x,4,4
1,10,2,-1.0,-2.0,chase_x,4,4
1,11,3,-1.0,-3.0,chase_x,2,2
1,12,4,-1.0,-4.0,chase_x,4,2
1,13,5,-1.0,-5.0,chase_x,1,4
1,14,6,99.0,94.0,chase_x,3,3
2,15,1,-1.0,-1.0,chase_x,4,4
2,16,2,-1.0,-2.0,chase_x,4,3
2,17,3,-1.0,-3.0,chase_x,4,1
2,18,4,99.0,96.0,chase_x,4,4
3,19,1,-1.0,-1.0,chase_x,3,4
3,20,2,-1.0,-2.0,chase_x,3,1
3,21,3,-1.0,-3.0,chase_x,2,4
3,22,4,-1.0,-4.0,chase_x,3,4
3,23,5,-1.0,-5.0,chase_x,3,4
3,24,6,-1.0,-6.0,chase_x,2,4
3,25,7,-1.0,-7.0,chase_x,2,4
3,26,8,-1.0,-8.0,chase_x,3,2
3,27,9,-1.0,-9.0,chase_x,3,1
3,28,10,-1.0,-10.0,chase_x,3,3
3,29,11,99.0,89.0,chase_x,3,1
4,30,1,-1.0,-1.0,chase_x,1,1
4,31,2,-1.0,-2.0,chase_x,1,1
4,32,3,-1.0,-3.0,chase_x,1,1
4,33,4,-1.0,-4.0,chase_x,1,1
4,34,5,-1.0,-5.0,chase_x,2,1
4,35,6,-1.0,-6.0,chase_x,2,4
4,36,7,-1.0,-7.0,chase_x,4,1
4,37,8,-1.0,-8.0,chase_x,2,1
4,38,9,-1.0,-9.0,chase_x,2,4
4,39,10,-1.0,-10.0,chase_x,3,2
4,40,11,-1.0,-11.0,chase_x,3,3
4,41,12,99.0,88.0,chase_x,2,2
5,42,1,-1.0,-1.0,chase_x,2,2
5,43,2,-1.0,-2.0,chase_x,2,2
5,44,3,-1.0,-3.0,chase_x,4,2
5,45,4,-1.0,-4.0,chase_x,4,3
5,46,5,-1.0,-5.0,chase_x,4,3
5,47,6,-1.0,-6.0,chase_x,4,4
5,48,7,-1.0,-7.0,chase_x,4,4
5,49,8,-1.0,-8.0,chase_x,2,0
5,50,9,99.0,91.0,chase_x,4,4
6,51,1,-1.0,-1.0,chase_x,1,3
6,52,2,-1.0,-2.0,chase_x,1,1
6,53,3,-1.0,-3.0,chase_x,3,3
6,54,4,-1.0,-4.0,chase_x,1,1
6,55,5,-1.0,-5.0,chase_x,3,3
6,56,6,-1.0,-6.0,chase_x,3,3
6,57,7,-1.0,-7.0,chase_x,1,1
6,58,8,-1.0,-8.0,chase_x,1,1
