episode,global_step,episode_step,reward,episode_reward_so_far,true_policy,response_policy,response_policy_correct,assumed_policy,assumption_correct,predator_a_action,predator_b_action,switched,running_error_chase_x,running_error_chase_y
0,1,1,-1.0,-1.0,chase_x,chase_x,True,chase_x,True,4,4,False,0.0,0.0
0,2,2,-1.0,-2.0,chase_x,chase_x,True,chase_x,True,4,2,False,0.0,0.9124560110545333
0,3,3,-1.0,-3.0,chase_x,chase_x,True,chase_x,True,1,2,False,0.0,1.829752146934433
0,4,4,-1.0,-4.0,chase_x,chase_x,True,chase_x,True,4,2,False,0.0,2.749746555074293
0,5,5,-1.0,-5.0,chase_x,chase_x,True,chase_x,True,4,4,False,0.0,2.669745234940521
0,6,6,-1.0,-6.0,chase_x,chase_x,True,chase_x,True,4,4,False,0.0,2.5895220040631863
0,7,7,99.0,93.0,chase_x,chase_x,True,chase_x,True,4,4,False,0.0,2.50927082757778
1,8,1,-1.0,-1.0,chase_x,chase_x,True,chase_x,True,2,3,False,0.0,3.4292708129569327
1,9,2,-1.0,-2.0,chase_x,chase_x,True,chase_x,True,3,0,False,0.0,4.349269329914099
1,10,3,-1.0,-3.0,chase_x,chase_x,True,chase_x,True,2,3,False,0.0,5.269267880525859
1,11,4,-1.0,-4.0,chase_x,chase_x,True,chase_x,True,2,3,False,0.0,6.189212500133585
1,12,5,99.0,95.0,chase_x,chase_x,True,chase_x,True,3,0,False,0.0,7.095767015217318
2,13,1,-1.0,-1.0,chase_x,chase_x,True,chase_x,True,2,3,False,0.0,8.0
2,14,2,-1.0,-2.0,chase_x,chase_x,True,chase_x,True,2,3,False,0.0,8.0
2,15,3,-1.0,-3.0,chase_x,chase_x,True,chase_x,True,2,3,False,0.0,8.0
2,16,4,99.0,96.0,chase_x,chase_x,True,chase_x,True,2,3,False,0.0,8.0
3,17,1,-1.0,-1.0,chase_x,chase_x,True,chase_x,True,3,3,False,0.0,8.0
3,18,2,-1.0,-2.0,chase_x,chase_x,True,chase_x,True,1,3,False,0.0,8.0
3,19,3,-1.0,-3.0,chase_x,chase_x,True,chase_x,True,1,3,False,0.0,8.0
